P00352,O60356
Q8N122,Q86YV9
Q8WUD4,O95926
Q6DKI1,Q9H6S0
P62805,P08708
P61224,O00522
Q13489,Q9UNM6
Q8TBB1,Q9UJX0
Q9NZN5,Q14344
O95793,P50454
Q03405,Q9BRA2
P04637,Q9NVN8
Q13501,P51148
O14980,P48730
Q14258,P31323
P31327,Q5J5C9
Q08752,Q13137
P63104,Q04837
P46059,Q86UT5
Q5JVS0,Q96BM0
P06213,P28482
P14373,Q3SY00
P01111,Q5VWQ8
P10242,P55198
P49116,Q13422
P04150,P22681
Q15293,Q96P70
P60709,Q9GZQ8
Q12933,P49720
P05556,P08648
P48742,P15822
P42166,Q6K0P9
P35968,O75688
Q99798,Q9UBQ7
P56851,P18850
Q5S007,P42679
Q86SJ6,Q6WQI6
P61601,Q9NVR5
P51178,Q9H3Y6
Q8WXH2,O95630
P61019,Q9UHA4
P60660,O43809
P56945,O60568
Q71U36,Q13263
Q9Y251,Q9UH99
P82663,O75208
Q9NY93,O94993
Q9UBS0,Q3ZCQ8
Q16635,P22304
Q15797,Q9UHC1
Q9Y266,Q09019
O95863,Q9HAV4
P04843,A2VDJ0
P04150,Q9H7R0
Q969V3,Q96LD1
P68431,P40429
Q9UPX8,Q9H0F6
P14923,P26196
Q6NYC8,A1L4K1
P78317,P52272
P60468,Q9BTV4
P62330,P59780
P17081,Q12913
P01116,O15211
P14866,Q01664
Q15349,P98153
Q13371,Q9UBI6
Q09472,P02786
P08621,Q96GG9
P05412,O75439
Q86X19,Q8TAD4
Q5T5X7,Q8NDC4
Q86W74,Q96T91
Q15717,Q96S65
Q9Y570,Q9BUL8
P15259,Q9BXI2
P04637,Q07820
Q96EL2,Q66K89
Q9UBB9,Q15154
P46934,Q96DX7
P34931,P35658
Q9BSJ5,Q96BP2
P19320,P15559
Q969X2,P06727
P13569,Q14141
Q3KNW5,P48230
P68032,Q96GD4
Q8TDD2,Q8NHM5
Q14164,P19438
Q9BQE3,O00526
Q06787,Q14498
Q14451,P42766
Q13043,Q14BN4
P63208,Q9UJX4
P57078,Q7L0J3
P21359,P30305
Q8WV44,Q7Z419
P13569,P09497
Q12789,P06400
Q9Y320,Q9C0K1
P04637,Q96DH6
Q92785,Q92784
P51970,Q9H6K4
Q92785,Q9NSK0
P09874,Q13129
